Departure,Arrival,Age,Gender,TravelClass,Q1,Q2,Q3,Q4
AUH,BAH,36,M,Economy,2,7,2,1
AUH,BAH,44,F,Economy,7,2,4,0
AUH,DOH,36,M,Economy,1,7,1,4
AUH,DOH,34,F,Economy,3,2,1,3
AUH,RUH,20,M,Economy,5,4,1,2
AUH,CAI,33,M,Economy,3,2,1,7
AUH,BAH,26,M,Economy,3,0,6,3
AUH,RUH,58,M,Economy,3,3,5,3
AUH,RUH,31,M,Economy,1,7,2,3
AUH,BAH,64,M,Economy,1,3,6,3
AUH,DOH,57,M,Economy,3,1,2,4
AUH,BAH,53,F,Economy,2,1,1,1
AUH,CAI,49,M,Economy,1,1,2,1
AUH,CAI,42,M,Economy,7,2,6,3
AUH,CAI,49,M,Economy,3,4,6,5
AUH,CAI,20,F,Economy,3,4,7,1
AUH,CAI,33,F,Economy,5,2,5,2
AUH,CAI,29,M,Economy,3,4,0,3
AUH,CAI,66,M,Economy,2,3,3,3
AUH,BAH,58,M,Economy,3,1,4,5
AUH,CAI,60,F,Economy,5,1,2,2
AUH,DOH,39,F,Economy,1,1,1,3
AUH,BAH,48,M,Economy,1,6,4,5
AUH,RUH,26,M,First,3,1,1,1
AUH,BAH,67,M,Economy,3,1,4,3
AUH,BAH,56,M,Economy,0,4,4,3
AUH,BAH,58,F,Economy,2,4,4,1
AUH,CAI,21,M,Economy,3,5,1,3
AUH,RUH,65,M,Economy,3,1,4,3
AUH,DOH,33,M,Economy,6,1,4,3
AUH,BAH,39,F,Economy,3,6,2,3
AUH,BAH,57,F,Economy,7,2,7,3
AUH,DOH,41,F,Economy,1,4,4,2
AUH,BAH,64,M,Economy,7,2,4,2
AUH,CAI,59,F,Economy,7,2,3,1
AUH,CAI,29,F,First,2,3,1,3
AUH,RUH,26,F,Economy,0,2,1,1
AUH,CAI,31,F,Economy,3,1,6,3
AUH,BAH,20,F,Economy,1,4,7,3
AUH,CAI,56,M,Economy,2,1,2,3
AUH,CAI,46,F,Economy,1,2,1,3
AUH,BAH,18,M,Economy,2,5,4,3
AUH,CAI,21,F,First,3,2,6,3
AUH,BAH,51,F,Economy,3,3,4,0
AUH,RUH,18,F,Economy,3,3,4,4
AUH,BAH,36,F,Economy,1,7,6,3
AUH,CAI,42,F,Economy,1,3,0,3
